1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
0.888;0.748;1.039;1.039;0;3.513;1.303;2.945;2.856;0;3.439;0;0;0;0;0;0;0;0;0;0.755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.864;2.045;2.055;1.595;1.265;2.853;0.784;2.836;2.771;0;2.332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.887;2.854;2.832;1.121;0.742;2.749;1.153;2.616;2.625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.881;2.217;2.191;0;0;2.11;1.208;3.206;3.175;0;0;0;0;0;0;0;1.829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.87;1.765;1.703;0.908;0.875;2.605;1.31;2.024;1.975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.888;0;0;0.931;1.374;2.952;1.448;2.508;2.469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.832;1.55;0;1.256;1.373;2.518;1.481;1.667;1.636;0;1.893;0;0;1.347;1.397;1.499;0;0;0;0;0;0.805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.882;0;0;1.525;0.945;2.991;1.195;2.642;2.633;0;2.614;0;0;0;0;0;0;0;0;0;0;0;2.363;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.827;1.017;1.026;0.822;1.159;3.052;1.151;2.133;1.961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.852;2.056;2.073;1.333;1.337;3.19;1.059;2.667;2.622;0;0;0;0;0;1.906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.876;1.41;1.463;1.172;0.954;2.901;1.166;2.804;2.719;0;2.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.837;0;0;0;1.014;2.814;1.236;3.115;3.054;0.813;2.298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.88;0.883;0.933;0.997;1.132;2.876;1.07;2.17;2.096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.867;1.864;1.643;1.243;0.893;2.864;1.153;1.948;1.921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.878;0.315;0.5;0.999;0.717;2.414;1.119;3.325;3.283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.852;0;0;0;0;0;0;0;0;0;0;0;0;0
